Class,Count,Accuracy,Precision,Recall,F1 Score,AUC
cassette_player,16,0.9250955414012739,0.6179775280898876,0.46218487394957986,0.5288461538461539,0.8743413284596351
chain_saw,16,0.9031847133757962,0.5375,0.11139896373056994,0.18454935622317598,0.7451235456285037
church,16,0.9115923566878981,0.6422018348623854,0.3422982885085575,0.44657097288676234,0.8511498952744145
french_horn,16,0.8988535031847134,0.4909090909090909,0.20558375634517767,0.2898032200357782,0.8171701118591388
garbage_truck,16,0.9205095541401274,0.6878048780487804,0.36246786632390743,0.47474747474747475,0.8474166560039083
gas_pump,16,0.8929936305732484,0.49624060150375937,0.1575178997613365,0.2391304347826087,0.7663037928842068
golf_ball,16,0.9126114649681528,0.6217391304347826,0.3583959899749373,0.4546899841017488,0.8378049491283511
parachute,16,0.9421656050955414,0.8146718146718147,0.541025641025641,0.650231124807396,0.9023095056758422
tench,17,0.9470063694267515,0.8231046931407943,0.5891472868217055,0.6867469879518072,0.9204385607425034
english_springer,17,0.9197452229299363,0.7040816326530612,0.3493670886075949,0.467005076142132,0.8727984365474953
cassette_player,17,0.9253503184713375,0.6333333333333333,0.4257703081232493,0.509212730318258,0.8712348167966738
chain_saw,17,0.9034394904458599,0.5411764705882353,0.11917098445595854,0.19532908704883228,0.7267692199576298
church,17,0.9095541401273886,0.6323529411764706,0.3154034229828851,0.42088091353996737,0.8500783008030351
french_horn,17,0.9001273885350318,0.5054945054945055,0.233502538071066,0.3194444444444444,0.8169375811341748
garbage_truck,17,0.9207643312101911,0.6666666666666666,0.40102827763496146,0.5008025682182986,0.8683886051948958
gas_pump,17,0.8876433121019108,0.42948717948717946,0.15990453460620524,0.23304347826086957,0.7317112022077394
golf_ball,17,0.9090445859872611,0.6029411764705882,0.3082706766917293,0.4079601990049751,0.8302598526946975
parachute,17,0.935796178343949,0.7974137931034483,0.47435897435897434,0.594855305466238,0.8877996590867878
tench,18,0.9444585987261146,0.7903780068728522,0.5943152454780362,0.6784660766961652,0.918019640580015
english_springer,18,0.9126114649681528,0.6911764705882353,0.2379746835443038,0.3540489642184557,0.8473109334098325
cassette_player,18,0.9307006369426751,0.6872246696035242,0.4369747899159664,0.5342465753424658,0.873317600582834
chain_saw,18,0.9006369426751593,0.4772727272727273,0.10880829015544041,0.17721518987341772,0.6980060817507947
church,18,0.9118471337579618,0.6317991631799164,0.3691931540342298,0.4660493827160494,0.858347866963737
french_horn,18,0.8991082802547771,0.4956140350877193,0.2868020304568528,0.3633440514469453,0.8286528887719647
garbage_truck,18,0.9179617834394904,0.6264150943396226,0.4267352185089974,0.5076452599388379,0.8551192871849156
gas_pump,18,0.8876433121019108,0.43452380952380953,0.17422434367541767,0.24872231686541738,0.7694215303598195
golf_ball,18,0.9075159235668789,0.5661764705882353,0.38596491228070173,0.45901639344262296,0.839559192934122
parachute,18,0.9388535031847134,0.7245508982035929,0.6205128205128205,0.6685082872928176,0.9110731512711711
tench,19,0.944203821656051,0.7763157894736842,0.6098191214470284,0.683068017366136,0.9148689094263391
english_springer,19,0.9123566878980892,0.625615763546798,0.32151898734177214,0.42474916387959866,0.8661720514935274
cassette_player,19,0.9281528662420382,0.6518218623481782,0.45098039215686275,0.5331125827814569,0.8853746655612916
chain_saw,19,0.9006369426751593,0.4782608695652174,0.11398963730569948,0.18410041841004185,0.7416525993847973
church,19,0.9113375796178343,0.6517412935323383,0.3202933985330073,0.42950819672131146,0.8666452486850194
french_horn,19,0.8914649681528662,0.44366197183098594,0.3197969543147208,0.37168141592920356,0.8297601950526664
garbage_truck,19,0.9220382165605095,0.6602316602316602,0.43958868894601544,0.5277777777777778,0.8598251986181066
gas_pump,19,0.8843312101910829,0.4146341463414634,0.20286396181384247,0.2724358974358974,0.7502692282034071
golf_ball,19,0.9161783439490446,0.6785714285714286,0.3333333333333333,0.4470588235294118,0.836122495689024
parachute,19,0.9398726114649681,0.7730496453900709,0.558974358974359,0.6488095238095238,0.91013745330577
tench,20,0.9406369426751592,0.781021897810219,0.5529715762273901,0.6475037821482602,0.9070344418590043
english_springer,20,0.9149044585987262,0.6473429951690821,0.3392405063291139,0.44518272425249167,0.8709750062753254
cassette_player,20,0.9271337579617834,0.6802030456852792,0.3753501400560224,0.48375451263537905,0.8647164022559696
chain_saw,20,0.9036942675159235,0.5476190476190477,0.11917098445595854,0.19574468085106383,0.761442812656015
church,20,0.904968152866242,0.5612244897959183,0.4034229828850856,0.4694167852062589,0.8524419280633972
french_horn,20,0.9011464968152866,0.525,0.1598984771573604,0.245136186770428,0.822874122888355
garbage_truck,20,0.9171974522292994,0.6151079136690647,0.43958868894601544,0.512743628185907,0.8536478265421257
gas_pump,20,0.8942675159235669,0.5114942528735632,0.21241050119331742,0.30016863406408095,0.763736084203418
golf_ball,20,0.9131210191082803,0.6421568627450981,0.3283208020050125,0.43449419568822556,0.8388292057426606
parachute,20,0.9380891719745222,0.7672727272727272,0.541025641025641,0.6345864661654136,0.8993994124687195
tench,21,0.9447133757961783,0.775974025974026,0.6175710594315246,0.6877697841726619,0.922502530663757
english_springer,21,0.9100636942675159,0.5617647058823529,0.4835443037974684,0.5197278911564626,0.8755592211424678
cassette_player,21,0.9245859872611465,0.6224899598393574,0.4341736694677871,0.5115511551155115,0.8813158671540364
chain_saw,21,0.9031847133757962,0.5405405405405406,0.10362694300518134,0.17391304347826086,0.7206435470340119
church,21,0.9095541401273886,0.6115702479338843,0.36185819070904646,0.45468509984639016,0.8486916951080774
french_horn,21,0.8978343949044586,0.4768211920529801,0.18274111675126903,0.26422018348623855,0.8080870376520075
garbage_truck,21,0.92,0.676056338028169,0.37017994858611825,0.47840531561461797,0.8517023578266584
gas_pump,21,0.8912101910828025,0.46078431372549017,0.11217183770883055,0.18042226487523993,0.744736265277254
golf_ball,21,0.9154140127388535,0.6830601092896175,0.3132832080200501,0.42955326460481097,0.8272830402722633
parachute,21,0.9396178343949044,0.7953667953667953,0.5282051282051282,0.6348228043143297,0.9036397925506836
tench,22,0.9429299363057325,0.7538940809968847,0.6253229974160207,0.6836158192090396,0.9161904782771912
english_springer,22,0.9161783439490446,0.6571428571428571,0.3493670886075949,0.456198347107438,0.8736278552730662
cassette_player,22,0.9212738853503185,0.581081081081081,0.48179271708683474,0.5267993874425727,0.8648639949253243
chain_saw,22,0.901656050955414,0.5,0.07772020725388601,0.13452914798206278,0.7343845850896085
church,22,0.914140127388535,0.652542372881356,0.3765281173594132,0.47751937984496123,0.8545927662853153
french_horn,22,0.9019108280254777,0.536,0.1700507614213198,0.2581888246628131,0.8290392419857765
garbage_truck,22,0.9184713375796179,0.6311787072243346,0.4267352185089974,0.50920245398773,0.8604380648838537
gas_pump,22,0.8940127388535032,0.5073891625615764,0.2458233890214797,0.3311897106109325,0.7693497134812874
golf_ball,22,0.9118471337579618,0.6402116402116402,0.3032581453634085,0.41156462585034015,0.8394696326749943
parachute,22,0.9355414012738853,0.7437722419928826,0.5358974358974359,0.6229508196721312,0.9110709752293911
tench,23,0.9472611464968153,0.8061224489795918,0.6124031007751938,0.6960352422907489,0.9132687119396203
english_springer,23,0.9110828025477707,0.597457627118644,0.3569620253164557,0.4469096671949287,0.8688162943306916
cassette_player,23,0.9317197452229299,0.751412429378531,0.37254901960784315,0.49812734082397003,0.877485523357325
chain_saw,23,0.9001273885350318,0.475,0.14766839378238342,0.22529644268774704,0.7244991779241523
church,23,0.9098089171974523,0.6131687242798354,0.3643031784841076,0.4570552147239264,0.848571392808565
french_horn,23,0.8968152866242038,0.46308724832214765,0.1751269035532995,0.2541436464088398,0.8145734588639849
garbage_truck,23,0.9067515923566879,0.5389830508474577,0.4087403598971722,0.4649122807017544,0.8447310949295677
gas_pump,23,0.8848407643312102,0.41708542713567837,0.19809069212410502,0.2686084142394822,0.7637731839179205
golf_ball,23,0.9095541401273886,0.5990990990990991,0.3333333333333333,0.428341384863124,0.8433633715599265
parachute,23,0.9352866242038217,0.8063063063063063,0.45897435897435895,0.5849673202614379,0.8948007108403148
tench,24,0.9429299363057325,0.8196078431372549,0.5400516795865633,0.6510903426791277,0.9092247623805328
english_springer,24,0.9113375796178343,0.6026200873362445,0.3493670886075949,0.4423076923076923,0.8763746548571019
cassette_player,24,0.9230573248407643,0.6200873362445415,0.39775910364145656,0.48464163822525597,0.857299085553504
chain_saw,24,0.9021656050955414,0.5151515151515151,0.08808290155440414,0.1504424778761062,0.714560332168421
church,24,0.9092993630573248,0.6090534979423868,0.36185819070904646,0.4539877300613497,0.861564736544918
french_horn,24,0.8965605095541401,0.470873786407767,0.24619289340101522,0.3233333333333333,0.815666029812811
garbage_truck,24,0.9174522292993631,0.6190476190476191,0.43444730077120824,0.5105740181268882,0.8558106701252777
gas_pump,24,0.8945222929936306,0.5179856115107914,0.1718377088305489,0.25806451612903225,0.7715746752583706
golf_ball,24,0.9164331210191082,0.762962962962963,0.2581453634085213,0.3857677902621723,0.8331542128150781
parachute,24,0.9375796178343949,0.7715355805243446,0.5282051282051282,0.6270928462709284,0.9057403982156457
tench,25,0.9444585987261146,0.8477366255144033,0.5322997416020672,0.653968253968254,0.9179904265683908
english_springer,25,0.9126114649681528,0.634020618556701,0.31139240506329113,0.41765704584040747,0.8718765015957257
cassette_player,25,0.9217834394904458,0.5954198473282443,0.4369747899159664,0.5040387722132472,0.8710770182512467
chain_saw,25,0.9021656050955414,0.51,0.13212435233160622,0.20987654320987653,0.7335496986209915
church,25,0.9052229299363057,0.6258503401360545,0.22493887530562348,0.33093525179856115,0.836754647284784
french_horn,25,0.900891719745223,0.5221238938053098,0.14974619289340102,0.23274161735700197,0.8067392938828964
garbage_truck,25,0.916687898089172,0.6313559322033898,0.38303341902313626,0.4768,0.8562810431667227
gas_pump,25,0.8922292993630573,0.4807692307692308,0.11933174224343675,0.19120458891013384,0.7486409251375412
golf_ball,25,0.9115923566878981,0.6830985915492958,0.24310776942355888,0.3585951940850277,0.8361182309147799
parachute,25,0.9248407643312102,0.6172839506172839,0.6410256410256411,0.6289308176100629,0.9091270445725892
tench,26,0.9424203821656051,0.784452296819788,0.5736434108527132,0.6626865671641791,0.9167809664871466
english_springer,26,0.9080254777070064,0.5620437956204379,0.389873417721519,0.46038863976083705,0.8494258973715352
cassette_player,26,0.926624203821656,0.6733668341708543,0.3753501400560224,0.48201438848920863,0.8906487482885531
chain_saw,26,0.8998726114649681,0.4639175257731959,0.11658031088082901,0.18633540372670807,0.7267421346447505
church,26,0.9095541401273886,0.635,0.3105134474327628,0.41707717569786534,0.8533487153383346
french_horn,26,0.8970700636942676,0.4666666666666667,0.17766497461928935,0.25735294117647056,0.8226750162088651
garbage_truck,26,0.9159235668789809,0.6113207547169811,0.41645244215938304,0.4954128440366973,0.8669505868394421
gas_pump,26,0.8901910828025478,0.4620253164556962,0.17422434367541767,0.2530329289428076,0.759435580600321
golf_ball,26,0.9105732484076433,0.616504854368932,0.3182957393483709,0.41983471074380163,0.8307886847009752
parachute,26,0.9398726114649681,0.7830882352941176,0.5461538461538461,0.6435045317220544,0.9014274834076814
tench,27,0.9401273885350319,0.7389937106918238,0.6072351421188631,0.6666666666666666,0.9136207407796928
